,Time,Total Occupancy rate (percent)
0,1999M01,43.7
1,1999M02,41.0
2,1999M03,36.5
3,1999M04,32.8
4,1999M05,24.5
5,1999M06,24.1
6,1999M07,26.0
7,1999M08,26.2
8,1999M09,30.7
9,1999M10,29.9
10,1999M11,35.2
11,1999M12,33.8
12,2000M01,44.1
13,2000M02,41.8
14,2000M03,36.9
15,2000M04,34.3
16,2000M05,25.1
17,2000M06,23.5
18,2000M07,26.9
19,2000M08,26.9
20,2000M09,28.3
21,2000M10,31.5
22,2000M11,36.5
23,2000M12,37.5
24,2001M01,47.7
25,2001M02,44.8
26,2001M03,40.8
27,2001M04,34.6
28,2001M05,27.1
29,2001M06,25.3
30,2001M07,28.9
31,2001M08,29.2
32,2001M09,30.5
33,2001M10,32.8
34,2001M11,36.2
35,2001M12,37.8
36,2002M01,48.1
37,2002M02,46.6
38,2002M03,45.1
39,2002M04,36.5
40,2002M05,28.7
41,2002M06,26.7
42,2002M07,30.6
43,2002M08,29.8
44,2002M09,31.7
45,2002M10,35.0
46,2002M11,39.9
47,2002M12,40.3
48,2003M01,48.8
49,2003M02,48.8
50,2003M03,44.0
51,2003M04,39.6
52,2003M05,29.4
53,2003M06,26.6
54,2003M07,31.3
55,2003M08,29.9
56,2003M09,32.8
57,2003M10,35.2
58,2003M11,40.0
59,2003M12,42.1
60,2004M01,50.4
61,2004M02,48.9
62,2004M03,45.3
63,2004M04,39.5
64,2004M05,30.1
65,2004M06,29.0
66,2004M07,32.5
67,2004M08,30.8
68,2004M09,32.9
69,2004M10,34.2
70,2004M11,41.0
71,2004M12,40.8
72,2005M01,50.9
73,2005M02,49.7
74,2005M03,46.4
75,2005M04,38.1
76,2005M05,29.0
77,2005M06,29.6
78,2005M07,31.6
79,2005M08,29.7
80,2005M09,32.1
81,2005M10,33.3
82,2005M11,39.1
83,2005M12,38.8
84,2006M01,48.8
85,2006M02,48.7
86,2006M03,44.1
87,2006M04,37.7
88,2006M05,29.2
89,2006M06,27.6
90,2006M07,30.7
91,2006M08,30.7
92,2006M09,32.9
93,2006M10,34.8
94,2006M11,41.0
95,2006M12,40.4
96,2007M01,51.1
97,2007M02,51.6
98,2007M03,46.9
99,2007M04,38.5
100,2007M05,30.8
101,2007M06,28.8
102,2007M07,31.7
103,2007M08,31.4
104,2007M09,33.4
105,2007M10,33.7
106,2007M11,40.5
107,2007M12,40.1
108,2008M01,50.8
109,2008M02,50.8
110,2008M03,47.6
111,2008M04,38.3
112,2008M05,30.8
113,2008M06,27.5
114,2008M07,31.3
115,2008M08,30.5
116,2008M09,32.1
117,2008M10,34.4
118,2008M11,38.2
119,2008M12,38.4
120,2009M01,48.3
121,2009M02,48.2
122,2009M03,43.6
123,2009M04,37.8
124,2009M05,30.0
125,2009M06,25.4
126,2009M07,30.4
127,2009M08,29.1
128,2009M09,31.6
129,2009M10,33.4
130,2009M11,37.8
131,2009M12,39.6
132,2010M01,49.5
133,2010M02,48.5
134,2010M03,43.7
135,2010M04,37.3
136,2010M05,28.1
137,2010M06,26.9
138,2010M07,30.5
139,2010M08,29.1
140,2010M09,31.6
141,2010M10,33.4
142,2010M11,38.9
143,2010M12,39.0
144,2011M01,48.9
145,2011M02,47.8
146,2011M03,42.6
147,2011M04,37.7
148,2011M05,29.6
149,2011M06,27.6
